1747658805530	geckodriver	INFO	Listening on 127.0.0.1:4444
1747658809264	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658809265	geckodriver::marionette	TRACE	Retrying in 100ms
1747658809370	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658809370	geckodriver::marionette	TRACE	Retrying in 100ms
1747658809484	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658809484	geckodriver::marionette	TRACE	Retrying in 100ms
1747658809586	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658809587	geckodriver::marionette	TRACE	Retrying in 100ms
1747658809735	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658809735	geckodriver::marionette	TRACE	Retrying in 100ms
1747658809861	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658809862	geckodriver::marionette	TRACE	Retrying in 100ms
1747658809999	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658809999	geckodriver::marionette	TRACE	Retrying in 100ms
1747658810115	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658810115	geckodriver::marionette	TRACE	Retrying in 100ms
1747658810222	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658810222	geckodriver::marionette	TRACE	Retrying in 100ms
1747658810327	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658810327	geckodriver::marionette	TRACE	Retrying in 100ms
1747658810430	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658810430	geckodriver::marionette	TRACE	Retrying in 100ms
1747658810536	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658810536	geckodriver::marionette	TRACE	Retrying in 100ms
1747658810640	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658810640	geckodriver::marionette	TRACE	Retrying in 100ms
1747658810773	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658810774	geckodriver::marionette	TRACE	Retrying in 100ms
1747658810885	geckodriver::browser	TRACE	Failed to open /var/folders/m0/2grp25fj0sxf1t4lx5c2n1rc0000gn/T/rust_mozprofiler7Spll/MarionetteActivePort
1747658810886	geckodriver::marionette	TRACE	Retrying in 100ms
